,request_id,request_type,create_date,close_date,address,name,latitude,longitude,geometry
0,1055038,Stormwater Inspection,4/12/23 19:24,9/1/23 14:19,620 2ND KEY DR,"620 2ND KEY DR, Fort Lauderdale, Florida",26.1308366,-80.1173383,POINT (-80.1173383 26.1308366)
1,1056097,Stormwater Inspection,4/13/23 13:09,5/5/23 15:10,1030 ALABAMA AVE,"1030 ALABAMA AVE, Fort Lauderdale, Florida",26.1089874,-80.188836,POINT (-80.188836 26.1089874)
2,1055938,Stormwater Inspection,4/13/23 11:56,5/8/23 12:31,531 ALABAMA AVE,"531 ALABAMA AVE, Fort Lauderdale, Florida",26.1145457,-80.1872668,POINT (-80.18726680000002 26.1145457)
3,1057358,Stormwater Inspection,4/14/23 14:44,5/25/23 12:35,531 ALABAMA AVE,"531 ALABAMA AVE, Fort Lauderdale, Florida",26.1145457,-80.1872668,POINT (-80.18726680000002 26.1145457)
4,1060282,Stormwater Inspection,4/19/23 7:15,5/2/23 9:40,611 ALABAMA AVE,"611 ALABAMA AVE, Fort Lauderdale, Florida",26.1134919,-80.1872232,POINT (-80.1872232 26.1134919)
5,1059446,Stormwater Inspection,4/18/23 7:20,5/2/23 10:19,1030 ALABAMA AVE,"1030 ALABAMA AVE, Fort Lauderdale, Florida",26.1089874,-80.188836,POINT (-80.188836 26.1089874)
6,1055920,Stormwater Inspection,4/13/23 11:36,5/8/23 12:31,1000 ALABAMA AVE,"1000 ALABAMA AVE, Fort Lauderdale, Florida",26.1094145,-80.1884001,POINT (-80.1884001 26.1094145)
7,1058500,Stormwater Inspection,4/17/23 7:42,5/2/23 11:29,1041 ALABAMA AVE,"1041 ALABAMA AVE, Fort Lauderdale, Florida",26.1091573,-80.1893155,POINT (-80.1893155 26.1091573)
8,1058555,Stormwater Inspection,4/17/23 8:52,5/2/23 11:29,1001 ALABAMA AVE,"1001 ALABAMA AVE, Fort Lauderdale, Florida",26.1097125,-80.1887488,POINT (-80.1887488 26.1097125)
9,1057967,Stormwater Inspection,4/15/23 19:35,6/1/23 14:57,1001 ALABAMA AVE,"1001 ALABAMA AVE, Fort Lauderdale, Florida",26.1097125,-80.1887488,POINT (-80.1887488 26.1097125)
10,1059903,Stormwater Inspection,4/18/23 13:54,5/2/23 9:50,531 ALABAMA AVE,"531 ALABAMA AVE, Fort Lauderdale, Florida",26.1145457,-80.1872668,POINT (-80.18726680000002 26.1145457)
11,1056998,Stormwater Inspection,4/14/23 10:57,5/2/23 12:49,1030 ALABAMA AVE,"1030 ALABAMA AVE, Fort Lauderdale, Florida",26.1089874,-80.188836,POINT (-80.188836 26.1089874)
12,1056843,Stormwater Inspection,4/14/23 9:28,5/4/23 13:40,1041 ALABAMA AVE,"1041 ALABAMA AVE, Fort Lauderdale, Florida",26.1091573,-80.1893155,POINT (-80.1893155 26.1091573)
13,1056888,Stormwater Inspection,4/14/23 9:53,5/4/23 13:40,1050 ALABAMA AVE,"1050 ALABAMA AVE, Fort Lauderdale, Florida",26.1087312,-80.1890976,POINT (-80.1890976 26.1087312)
14,1056703,Stormwater Inspection,4/14/23 8:05,5/4/23 15:40,1041 ALABAMA AVE,"1041 ALABAMA AVE, Fort Lauderdale, Florida",26.1091573,-80.1893155,POINT (-80.1893155 26.1091573)
15,1055286,Stormwater Inspection,4/12/23 21:25,5/15/23 13:03,651 ALABAMA AVE,"651 ALABAMA AVE, Fort Lauderdale, Florida",26.1127122,-80.1871796,POINT (-80.1871796 26.1127122)
16,1055418,Stormwater Inspection,4/12/23 22:45,4/12/23 22:45,1001 ALABAMA AVE,"1001 ALABAMA AVE, Fort Lauderdale, Florida",26.1097125,-80.1887488,POINT (-80.1887488 26.1097125)
17,1055251,Stormwater Inspection,4/12/23 21:07,5/15/23 13:23,1010 ALABAMA AVE,"1010 ALABAMA AVE, Fort Lauderdale, Florida",26.1092864,-80.1885309,POINT (-80.18853089999999 26.1092864)
18,1056288,Stormwater Inspection,4/13/23 14:46,5/17/23 11:13,531 ALABAMA AVE,"531 ALABAMA AVE, Fort Lauderdale, Florida",26.1145457,-80.1872668,POINT (-80.18726680000002 26.1145457)
19,1056382,Stormwater Inspection,4/13/23 15:36,5/5/23 9:30,611 ALABAMA AVE,"611 ALABAMA AVE, Fort Lauderdale, Florida",26.1134919,-80.1872232,POINT (-80.1872232 26.1134919)
20,1056103,Stormwater Inspection,4/13/23 13:13,5/5/23 15:10,1040 ALABAMA AVE,"1040 ALABAMA AVE, Fort Lauderdale, Florida",26.1088801,-80.188973,POINT (-80.188973 26.1088801)
21,1059341,Stormwater Inspection,4/17/23 19:48,5/2/23 10:39,1546 ARGYLE DR,"1546 ARGYLE DR, Fort Lauderdale, Florida",26.120569,-80.1632063,POINT (-80.1632063 26.120569)
22,1055670,Stormwater Inspection,4/13/23 8:23,5/11/23 11:52,1546 ARGYLE DR,"1546 ARGYLE DR, Fort Lauderdale, Florida",26.120569,-80.1632063,POINT (-80.1632063 26.120569)
23,1054970,Stormwater Inspection,4/12/23 18:53,5/17/23 11:53,1546 ARGYLE DR,"1546 ARGYLE DR, Fort Lauderdale, Florida",26.120569,-80.1632063,POINT (-80.1632063 26.120569)
24,1059762,Stormwater Inspection,4/18/23 12:07,5/2/23 10:19,1507 ARGYLE DR,"1507 ARGYLE DR, Fort Lauderdale, Florida",26.1200748,-80.1619591,POINT (-80.1619591 26.1200748)
25,1057377,Stormwater Inspection,4/14/23 15:03,5/25/23 12:35,830 ARIZONA AVE,"830 ARIZONA AVE, Fort Lauderdale, Florida",26.1108647,-80.1882258,POINT (-80.1882258 26.1108647)
26,1059453,Stormwater Inspection,4/18/23 7:27,5/2/23 9:49,771 ARIZONA AVE,"771 ARIZONA AVE, Fort Lauderdale, Florida",26.1116842,-80.1881822,POINT (-80.18818220000001 26.1116842)
27,1057411,Stormwater Inspection,4/14/23 15:39,5/25/23 12:36,810 ARIZONA AVE,"810 ARIZONA AVE, Fort Lauderdale, Florida",26.1111637,-80.1879206,POINT (-80.18792060000001 26.1111637)
28,1060001,Stormwater Inspection,4/18/23 15:10,5/2/23 9:39,1080 ATKINSON AVE,"1080 ATKINSON AVE, Fort Lauderdale, Florida",26.1079012,-80.1976843,POINT (-80.1976843 26.1079012)
29,1055628,Stormwater Inspection,4/13/23 7:21,5/11/23 12:12,1121 ATKINSON AVE,"1121 ATKINSON AVE, Fort Lauderdale, Florida",26.1072616,-80.1976843,POINT (-80.1976843 26.1072616)
30,1055398,Stormwater Inspection,4/12/23 22:35,5/11/23 13:12,1080 ATKINSON AVE,"1080 ATKINSON AVE, Fort Lauderdale, Florida",26.1079012,-80.1976843,POINT (-80.1976843 26.1079012)
31,1056659,Stormwater Inspection,4/14/23 7:41,5/4/23 15:40,1121 ATKINSON AVE,"1121 ATKINSON AVE, Fort Lauderdale, Florida",26.1072616,-80.1976843,POINT (-80.1976843 26.1072616)
32,1055776,Stormwater Inspection,4/13/23 9:58,5/9/23 15:31,1121 ATKINSON AVE,"1121 ATKINSON AVE, Fort Lauderdale, Florida",26.1072616,-80.1976843,POINT (-80.1976843 26.1072616)
33,1055904,Stormwater Inspection,4/13/23 11:25,5/8/23 12:31,1090 ATKINSON AVE,"1090 ATKINSON AVE, Fort Lauderdale, Florida",26.1077066,-80.1975099,POINT (-80.1975099 26.1077066)
34,1056174,Stormwater Inspection,4/13/23 13:51,5/5/23 15:00,1080 ATKINSON AVE,"1080 ATKINSON AVE, Fort Lauderdale, Florida",26.1079012,-80.1976843,POINT (-80.1976843 26.1079012)
35,1059652,Stormwater Inspection,4/18/23 10:34,9/22/23 9:14,4770 BAYVIEW DR,"4770 BAYVIEW DR, Fort Lauderdale, Florida",26.1872473,-80.1067263,POINT (-80.1067263 26.1872473)
36,1055499,Stormwater Inspection,4/12/23 23:40,7/13/23 14:06,1340 BAYVIEW DR,"1340 BAYVIEW DR, Fort Lauderdale, Florida",26.1443661,-80.1112567,POINT (-80.1112567 26.1443661)
37,1061621,Stormwater Inspection,4/20/23 15:16,4/26/23 10:28,4030 BAYVIEW DR,"4030 BAYVIEW DR, Fort Lauderdale, Florida",26.1791457,-80.106281,POINT (-80.106281 26.1791457)
38,1054563,Stormwater Inspection,4/12/23 11:41,6/12/23 14:30,BAYVIEW DR,"BAYVIEW DR, Fort Lauderdale, Florida",26.1707401,-80.1088141,POINT (-80.1088141 26.1707401)
39,1062982,Stormwater Inspection,4/24/23 17:19,9/14/23 13:53,1312 BAYVIEW DR,"1312 BAYVIEW DR, Fort Lauderdale, Florida",26.1435383,-80.112037,POINT (-80.112037 26.1435383)
40,1055048,Stormwater Inspection,4/12/23 19:31,7/16/23 14:37,2511 BIMINI LN,"2511 BIMINI LN, Fort Lauderdale, Florida",26.0881428,-80.1886719,POINT (-80.1886719 26.0881428)
41,1058302,Stormwater Inspection,4/16/23 13:55,5/3/23 11:30,801 BRYAN PL,"801 BRYAN PL, Fort Lauderdale, Florida",26.1167117,-80.1520072,POINT (-80.15200720000001 26.1167117)
42,1055689,Stormwater Inspection,4/13/23 8:37,5/11/23 11:42,930 CAROLINA AVE,"930 CAROLINA AVE, Fort Lauderdale, Florida",26.1100055,-80.1903616,POINT (-80.1903616 26.1100055)
43,1056087,Stormwater Inspection,4/13/23 13:05,5/5/23 15:10,221 CAROLINA AVE,"221 CAROLINA AVE, Fort Lauderdale, Florida",26.1188495,-80.1873975,POINT (-80.1873975 26.1188495)
44,1055960,Stormwater Inspection,4/13/23 12:08,4/13/23 12:08,1024 CAROLINA AVE,"1024 CAROLINA AVE, Fort Lauderdale, Florida",26.1093002,-80.1914078,POINT (-80.1914078 26.1093002)
45,1058887,Stormwater Inspection,4/17/23 13:42,5/2/23 11:09,121 CAROLINA AVE,"121 CAROLINA AVE, Fort Lauderdale, Florida",26.1198516,-80.187354,POINT (-80.187354 26.1198516)
46,1057330,Stormwater Inspection,4/14/23 14:13,5/24/23 14:55,320 CAROLINA AVE,"320 CAROLINA AVE, Fort Lauderdale, Florida",26.1176774,-80.1869616,POINT (-80.18696159999999 26.1176774)
47,1056642,Stormwater Inspection,4/14/23 7:29,5/4/23 15:50,221 CAROLINA AVE,"221 CAROLINA AVE, Fort Lauderdale, Florida",26.1188495,-80.1873975,POINT (-80.1873975 26.1188495)
